Height,Weight,Favourite Dish
5.8,101,Chicken Pulao
6.2,92,Biryani
5.9,62,Karahi Ghosht
5.9,95,Chicken Pulao
5.9,55,Chicken Pulao
5.3,59,Biryani
5.6,50,Pasta
5.9,76,Biryani
5.1,78,Biryani
5.4,68,Biryani
5.11,92,Karahi Ghosht
5.7,73,Biryani
6'1,78,Biryani
5.7,80,Karahi Ghosht
5.8,95,Karahi Ghosht
5,57,Biryani
5.7,68,Karahi Ghosht
5.9,91,Biryani
5.8,71,Karahi Ghosht
5.5,64,Biryani
6,85,Biryani
5.6,72,Biryani
5.8,74,Chicken Pulao
5.7,78,Biryani
5.3,75,Chicken Pulao
6Ft,50KG,Biryani
5,25,Biryani
5.11,76,Chicken Pulao
5.8ft,65,Biryani
5.4,63,Biryani
5.1,62kgs,Karahi Ghosht
5.9,85,Chicken Pulao
5.9,75,Chicken Pulao
5.1,103,Chapel Kaba
6,110,Chapel Kaba
5,31,Biryani
5.7,80,Karahi Ghosht
5.6,52,Chicken Pulao
5.1,61,Chapel Kaba
"5' 11""",55,Chicken Pulao
5,50kg,Chicken Pulao
5feet6 foot,86,Chicken Pulao
5.6,49,Chicken Pulao
59,64,Biryani
5.2,48,Biryani
167,60,Chapel Kaba
5.8,88,Biryani
5.9,82,Karahi Ghosht
5.6,72,Chapel Kaba
5.4,60,Biryani
"5' 7""",72 kg,Biryani
5 ft 9 in,68,Biryani
5.7,65,Biryani
5.2,61kgs,Pasta
5'8'',52,Pasta
5.8,60,Karahi Ghosht
5feet 3inch,75,Pasta
5.1,85,Biryani
5 ft 9 inch,55,Biryani
5.2,51,Chapel Kaba
6,88,Biryani
5.5,80,Chicken Pulao
5.11,95,Pasta
5.2,52,Pasta
"5'4""",90,Biryani
178,70,Biryani
5'3'',62 Kgs,Biryani
5.8 feet,72 kg,Biryani
5.5,52,Karahi Ghosht
5.1,70,Biryani
"5' 3""",65,Chapel Kaba
5.4,55,Pasta
5.8,73,Biryani
5'11,78,Biryani
5.6,62,Karahi Ghosht
6'0,125,Chapel Kaba
5.7ft,75kg,Biryani
5.5,85,Biryani
5’11,72,Karahi Ghosht
5'3,62,Biryani
5.4,55,Pasta
5.5,52,Karahi Ghosht
5.4,55,Pasta
5.9,75KG,Karahi Ghosht
5.4,61,Biryani
6.2,68,Chicken Pulao
5.1,96,Biryani
